Copy of Services for Cancellation (Updated) - All
Category,Subcategory,Name,Plan,Price,Steps,Primary Cancellation,Secondary Cancellation
Video On Demand,,Now TV,"Sky Cinema & Entertainment, hayu & Kids",£28.96/month,"Head to Passes & vouchers, hit Cancel Pass or Manage Pass next to the Pass you don’t want any more, then follow the onscreen steps.
OR 
To cancel now TV go to the my account button near the top right of any page on the website and select 'my passes' from the list then click the cancel pass button next to the appropriate pass. Remember each pass type needs to be cancelled separately.
After clicking cancel pass you will be taken through a series of dialogues. Follow the dialogues clicking the appropriate option each time. Once you have finished your get a notification confirming that the pass you have selected to be cancelled has been cancelled and you will no longer be charged for it.",https://account.nowtv.com/passes,https://help.nowtv.com/article/how-do-i-cancel-now-tv
Video On Demand,,YouTube Premium,Standard,£11.99/month,"1. Visit [youtube.com/paid_memberships](https://youtube.com/paid_memberships).
2. Click Manage membership.​
3. Click Deactivate.
4. Click Continue to cancel.
5. Select your reason for cancelling and then click next.
6. Click Yes to cancel.",https://www.youtube.com/paid_memberships,https://support.google.com/youtube/answer/6308278
Video On Demand,,YouTube Premium,Student,£6.99/month,"1. Visit [youtube.com/paid_memberships](https://youtube.com/paid_memberships).
2. Click Manage membership.​
3. Click Deactivate.
4. Click Continue to cancel.
5. Select your reason for cancelling and then click next.
6. Click Yes to cancel.",https://www.youtube.com/paid_memberships,https://support.google.com/youtube/answer/6308278
Video On Demand,,YouTube Premium,Family,£17.99/month,"1. Visit [youtube.com/paid_memberships](https://youtube.com/paid_memberships).
2. Click Manage membership.​
3. Click Deactivate.
4. Click Continue to cancel.
5. Select your reason for cancelling and then click next.
6. Click Yes to cancel.",https://www.youtube.com/paid_memberships,https://support.google.com/youtube/answer/6308278
Video On Demand,,Disney+,Monthly,£5.99/month,"1. Go to [www.disneyplus.com](https://help.disneyplus.com/www.disneyplus.com) and log in.
2. Select your Profile.
3. Select Account.
4. Select Cancel Subscription.
5. Select Complete Cancellation to confirm.",https://help.disneyplus.com/www.disneyplus.com,https://help.disneyplus.com/csp?id=csp_article_content&sys_kb_id=30faa254db0d40d03c0cf158bf9619bc
Video On Demand,,Disney+,Yearly,£59.99/year,"1. Go to [www.disneyplus.com](https://help.disneyplus.com/www.disneyplus.com) and log in.
2. Select your Profile.
3. Select Account.
4. Select Cancel Subscription.
5. Select Complete Cancellation to confirm.",https://help.disneyplus.com/www.disneyplus.com,https://help.disneyplus.com/csp?id=csp_article_content&sys_kb_id=30faa254db0d40d03c0cf158bf9619bc
Video On Demand,,Mubi,Monthly,£9.99/month,"1. Go to [https://mubi.com/subscription](https://mubi.com/subscription) and log ****in if necessary.
2. Click on Cancel Subscription.",http://mubi.com/subscription,https://help.mubi.com/article/68-how-do-i-cancel-my-subscription-if-i-purchased-it-online-through-the-web
Video On Demand,,Mubi,Yearly,£95.88/month,"1. Go to [https://mubi.com/subscription](https://mubi.com/subscription) and log ****in if necessary.
2. Click on Cancel Subscription.",http://mubi.com/subscription,https://help.mubi.com/article/68-how-do-i-cancel-my-subscription-if-i-purchased-it-online-through-the-web
Video On Demand,,Mubi,Go,£14.99/month,"1. Go to [https://mubi.com/subscription](https://mubi.com/subscription) and log ****in if necessary.
2. Click on Cancel Subscription.",http://mubi.com/subscription,https://help.mubi.com/article/68-how-do-i-cancel-my-subscription-if-i-purchased-it-online-through-the-web
Gaming,,PlaystationPlus,Monthly,£6.99/month,"1. Sign in to [account management](https://id.sonyentertainmentnetwork.com/id/management/#/p/psn_profile/).
2. Select [Subscription] from the menu on the left of the screen.
3. Select [Turn Off Auto-Renew] next to the subscription you would like to cancel.",https://id.sonyentertainmentnetwork.com/id/management/#/p/psn_profile/,https://support.playstation.com/s/article/Cancel-Auto-Renewal-for-Subscription-Services?language=en_US
Gaming,,PlaystationPlus,Quarterly,£6.67/month,"1. Sign in to [account management](https://id.sonyentertainmentnetwork.com/id/management/#/p/psn_profile/).
2. Select [Subscription] from the menu on the left of the screen.
3. Select [Turn Off Auto-Renew] next to the subscription you would like to cancel.",https://id.sonyentertainmentnetwork.com/id/management/#/p/psn_profile/,https://support.playstation.com/s/article/Cancel-Auto-Renewal-for-Subscription-Services?language=en_US
Gaming,,PlaystationPlus,Yearly,£4.17/month,"1. Sign in to [account management](https://id.sonyentertainmentnetwork.com/id/management/#/p/psn_profile/).
2. Select [Subscription] from the menu on the left of the screen.
3. Select [Turn Off Auto-Renew] next to the subscription you would like to cancel.",https://id.sonyentertainmentnetwork.com/id/management/#/p/psn_profile/,https://support.playstation.com/s/article/Cancel-Auto-Renewal-for-Subscription-Services?language=en_US
Gaming,,XBOX Live Gold,Monthly,£6.99/month,"1. Navigate to account.microsoft.com/services
2. Sign into your Microsoft account.
3. Navigate to the Xbox Live Gold subsection of the page.
4. Click Manage.
5. Choose Turn off auto-renew.
6. Select Confirm cancellation.",http://account.microsoft.com/services,https://www.windowscentral.com/how-cancel-xbox-live-gold-subscription-xbox-one
Gaming,,XBOX Live Gold,Quarterly,£5.99/month,"1. Navigate to account.microsoft.com/services
2. Sign into your Microsoft account.
3. Navigate to the Xbox Live Gold subsection of the page.
4. Click Manage.
5. Choose Turn off auto-renew.
6. Select Confirm cancellation.",http://account.microsoft.com/services,https://www.windowscentral.com/how-cancel-xbox-live-gold-subscription-xbox-one
Gaming,,Utomik,Personal,£5.99/month,"1. Navigate to your [Manage subscription page](https://my.utomik.com/subscription/).
2. Click the Cancel Subscription button.",https://my.utomik.com/subscription/,https://support.utomik.com/hc/en-us/articles/213787049-How-to-cancel-my-subscription-
Gaming,,Utomik,Family,£7.99/month,"1. Navigate to your [Manage subscription page](https://my.utomik.com/subscription/).
2. Click the Cancel Subscription button.",https://my.utomik.com/subscription/,https://support.utomik.com/hc/en-us/articles/213787049-How-to-cancel-my-subscription-
Gaming,,EA Access,Monthly,£3.99/month,"For Xbox:
1. Go to [https://account.microsoft.com/services/](https://account.microsoft.com/services/) and sign in with the Microsoft account you used when purchasing your subscription.
2. Find your subscription and select Manage. If you see Turn on recurring billing instead of Manage, skip to the Troubleshooting section - otherwise proceed to step 3.
3. On the next page, select Cancel or Upgrade or Cancel, depending on your subscription type.
4. Follow the instructions on the page to proceed with cancellation.

For PS4:
1. From your PS4™, log in to the account on PSN that purchased the subscription.
2. Navigate to [Settings] > [Account Management] > [Account Information] > [PlayStation Subscriptions]
3. Select the EA Access subscription you want to cancel.
4. Select Turn Off Auto-Renewal.",https://account.microsoft.com/services/,https://support.playstation.com/s/article/EA-Access-for-PlayStation-4-Subscriptions?language=en_US
Gaming,,EA Access,Annually,£19.99/year,"For Xbox:
1. Go to [https://account.microsoft.com/services/](https://account.microsoft.com/services/) and sign in with the Microsoft account you used when purchasing your subscription.
2. Find your subscription and select Manage. If you see Turn on recurring billing instead of Manage, skip to the Troubleshooting section - otherwise proceed to step 3.
3. On the next page, select Cancel or Upgrade or Cancel, depending on your subscription type.
4. Follow the instructions on the page to proceed with cancellation.

For PS4:
1. From your PS4™, log in to the account on PSN that purchased the subscription.
2. Navigate to [Settings] > [Account Management] > [Account Information] > [PlayStation Subscriptions]
3. Select the EA Access subscription you want to cancel.
4. Select Turn Off Auto-Renewal.",https://account.microsoft.com/services/,https://support.playstation.com/s/article/EA-Access-for-PlayStation-4-Subscriptions?language=en_US
Music on demand,,Spotify,Individual,£9.99/month,"1. Go to [http://www.spotify.com/account](http://www.spotify.com/account?_ga=2.32569662.1833605996.1594729398-233494598.1594031440) and log in.
2. Under Your plan, click CHANGE PLAN.
3. Scroll to Spotify Free and click CANCEL PREMIUM.
4. Continue through to the confirmation message.",http://www.spotify.com/account,https://support.spotify.com/uk/article/how-to-cancel-your-subscription/
Music on demand,,Spotify,Duo,£12.99/month,"1. Go to [http://www.spotify.com/account](http://www.spotify.com/account?_ga=2.32569662.1833605996.1594729398-233494598.1594031440) and log in.
2. Under Your plan, click CHANGE PLAN.
3. Scroll to Spotify Free and click CANCEL PREMIUM.
4. Continue through to the confirmation message.",http://www.spotify.com/account,https://support.spotify.com/uk/article/how-to-cancel-your-subscription/
Music on demand,,Spotify,Family,£14.99/month,"1. Go to [http://www.spotify.com/account](http://www.spotify.com/account?_ga=2.32569662.1833605996.1594729398-233494598.1594031440) and log in.
2. Under Your plan, click CHANGE PLAN.
3. Scroll to Spotify Free and click CANCEL PREMIUM.
4. Continue through to the confirmation message.",http://www.spotify.com/account,https://support.spotify.com/uk/article/how-to-cancel-your-subscription/
Music on demand,,Spotify,Student,£4.99/month,"1. Go to [http://www.spotify.com/account](http://www.spotify.com/account?_ga=2.32569662.1833605996.1594729398-233494598.1594031440) and log in.
2. Under Your plan, click CHANGE PLAN.
3. Scroll to Spotify Free and click CANCEL PREMIUM.
4. Continue through to the confirmation message.",http://www.spotify.com/account,https://support.spotify.com/uk/article/how-to-cancel-your-subscription/
Music on demand,,Deezer,Premium,£9.99/month,"1. Go to [deezer.com](https://www.deezer.com/) and log in.
2. Select your user profile icon at the top-right corner.
3. Select Account Settings.
4. Go to Manage my subscription.
5. Select Cancel my subscription.
6. Choose your reason for cancelling and select Confirm.",https://www.deezer.com/,https://support.deezer.com/hc/en-gb/articles/214349245-Cancel-your-Deezer-account
Music on demand,,Deezer,Family,£14.99/month,"1. Go to [deezer.com](https://www.deezer.com/) and log in.
2. Select your user profile icon at the top-right corner.
3. Select Account Settings.
4. Go to Manage my subscription.
5. Select Cancel my subscription.
6. Choose your reason for cancelling and select Confirm.",https://www.deezer.com/,https://support.deezer.com/hc/en-gb/articles/214349245-Cancel-your-Deezer-account
Music on demand,,Apple Music,Student,£4.99/month,"For Mac:
1. Open the App Store app.
2. Click the sign-in button  or your name at the bottom of the sidebar.
3. Click  View Information at the top of the window. You might be asked to sign in.
4. On the page that appears, scroll until you see Subscriptions, then click Manage.
5. Click Edit next to the subscription that you want.
6. Click Cancel Subscription. If you don’t see Cancel Subscription, then the subscription is already cancelled and won't renew.

For Non-Mac Users using Itunes on a PC:
1. On your PC, open iTunes.
2. From the menu bar at the top of the iTunes window, choose Account, then choose View My Account. You might be asked to sign in with your Apple ID.
3. Click View Account.
4. Scroll to the Settings section. Next to Subscriptions, click Manage.
5. Click Edit next to the subscription that you want.
6. Click Cancel Subscription. If you don’t see Cancel Subscription, then the subscription is already cancelled and won't renew.",https://support.apple.com/en-gb/HT211011,https://support.apple.com/en-gb/HT202039
Music on demand,,Apple Music,Individual,£9.99/month,"For Mac:
1. Open the App Store app.
2. Click the sign-in button  or your name at the bottom of the sidebar.
3. Click  View Information at the top of the window. You might be asked to sign in.
4. On the page that appears, scroll until you see Subscriptions, then click Manage.
5. Click Edit next to the subscription that you want.
6. Click Cancel Subscription. If you don’t see Cancel Subscription, then the subscription is already cancelled and won't renew.

For Non-Mac Users using Itunes on a PC:
1. On your PC, open iTunes.
2. From the menu bar at the top of the iTunes window, choose Account, then choose View My Account. You might be asked to sign in with your Apple ID.
3. Click View Account.
4. Scroll to the Settings section. Next to Subscriptions, click Manage.
5. Click Edit next to the subscription that you want.
6. Click Cancel Subscription. If you don’t see Cancel Subscription, then the subscription is already cancelled and won't renew.",https://support.apple.com/en-gb/HT211011,https://support.apple.com/en-gb/HT202039
Music on demand,,Apple Music,Family,£14.99/month,"For Mac:
1. Open the App Store app.
2. Click the sign-in button  or your name at the bottom of the sidebar.
3. Click  View Information at the top of the window. You might be asked to sign in.
4. On the page that appears, scroll until you see Subscriptions, then click Manage.
5. Click Edit next to the subscription that you want.
6. Click Cancel Subscription. If you don’t see Cancel Subscription, then the subscription is already cancelled and won't renew.

For Non-Mac Users using Itunes on a PC:
1. On your PC, open iTunes.
2. From the menu bar at the top of the iTunes window, choose Account, then choose View My Account. You might be asked to sign in with your Apple ID.
3. Click View Account.
4. Scroll to the Settings section. Next to Subscriptions, click Manage.
5. Click Edit next to the subscription that you want.
6. Click Cancel Subscription. If you don’t see Cancel Subscription, then the subscription is already cancelled and won't renew.",https://support.apple.com/en-gb/HT211011,https://support.apple.com/en-gb/HT202039
Music on demand,,Amazon Music,Amazon Music Unlimited,£9.99/month,"1. Go to [https://www.amazon.co.uk/music/settings](https://www.amazon.co.uk/music/settings) and log in if necessary.
2. Go to the Amazon Music Unlimited section.
3. Select the Cancel option in your Subscription Renewal details.
4. Confirm the cancellation.",https://www.amazon.co.uk/music/settings,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=GCRZL3F2UZMNP3T3
Music on demand,,Amazon Music,Prime Music Monthly,£7.99/month,"1. Go to [https://www.amazon.co.uk/music/settings](https://www.amazon.co.uk/music/settings) and log in if necessary.
2. Go to the Amazon Music Unlimited section.
3. Select the Cancel option in your Subscription Renewal details.
4. Confirm the cancellation.",https://www.amazon.co.uk/music/settings,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=GCRZL3F2UZMNP3T3
Music on demand,,Amazon Music,Prime Music Yearly,£79.00/year,"1. Go to [https://www.amazon.co.uk/music/settings](https://www.amazon.co.uk/music/settings) and log in if necessary.
2. Go to the Amazon Music Unlimited section.
3. Select the Cancel option in your Subscription Renewal details.
4. Confirm the cancellation.",https://www.amazon.co.uk/music/settings,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=GCRZL3F2UZMNP3T3
Music on demand,,Tidal,Premium,£9.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,Family Premium,£14.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,Student Premium,£4.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,Military Premium,£5.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,HiFi,£19.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,Family HiFi,£29.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,Student HiFi,£9.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,Tidal,Military HiFi,£11.99/month,"1. Visit [my.TIDAL.com](http://my.tidal.com/) 
2. Log in with your username and password
3. Click 'Subscription'
4. Click 'Cancel My Subscription' then confirm cancellation",http://my.tidal.com/,https://support.tidal.com/hc/en-us/articles/201314601-Cancel-TIDAL-Subscription-or-Trial
Music on demand,,SoundCloud,SoundCloud Go,£5.99/month,"1. Go to [https://soundcloud.com/you/subscriptions](https://soundcloud.com/you/subscriptions?ref=tcode2215) and log in if necessary.
2. Click on the icon next to your current subscription status and follow the prompts to cancel your plan.
3. You will then be redirected to the page where you will be able to cancel.
4. Click on cancel plan.",https://soundcloud.com/you/subscriptions?ref=tcode2215,https://help.soundcloud.com/hc/en-us/articles/115003566248-How-do-I-cancel-my-SoundCloud-Go-subscription-
Music on demand,,SoundCloud,SoundCloud Go+,£9.99/month,"1. Go to [https://soundcloud.com/you/subscriptions](https://soundcloud.com/you/subscriptions?ref=tcode2215) and log in if necessary.
2. Click on the icon next to your current subscription status and follow the prompts to cancel your plan.
3. You will then be redirected to the page where you will be able to cancel.
4. Click on cancel plan.",https://soundcloud.com/you/subscriptions?ref=tcode2215,https://help.soundcloud.com/hc/en-us/articles/115003566248-How-do-I-cancel-my-SoundCloud-Go-subscription-
Music on demand,,SoundCloud,SoundCloud Pro Unlimited,£10.00/month,"1. Go to [https://soundcloud.com/you/subscriptions](https://soundcloud.com/you/subscriptions?ref=tcode2215) and log in if necessary.
2. Click on the icon next to your current subscription status and follow the prompts to cancel your plan.
3. You will then be redirected to the page where you will be able to cancel.
4. Click on cancel plan.",https://soundcloud.com/you/subscriptions?ref=tcode2215,https://help.soundcloud.com/hc/en-us/articles/115003566248-How-do-I-cancel-my-SoundCloud-Go-subscription-
Music on demand,,YouTube Music ,Premium,£9.99/month,"1. Visit [youtube.com/paid_memberships](https://youtube.com/paid_memberships).
2. Click Manage membership.​
3. Click Deactivate.
4. Click Continue to cancel.
5. Select your reason for canceling and then click next.
6. Click Yes, cancel.",https://youtube.com/paid_memberships,https://support.google.com/youtube/answer/6308278?co=GENIE.Platform%3DAndroid&hl=en
Music on demand,,YouTube Music ,Premium Family,£14.99/month,"1. Visit [youtube.com/paid_memberships](https://youtube.com/paid_memberships).
2. Click Manage membership.​
3. Click Deactivate.
4. Click Continue to cancel.
5. Select your reason for canceling and then click next.
6. Click Yes, cancel.",https://youtube.com/paid_memberships,https://support.google.com/youtube/answer/6308278?co=GENIE.Platform%3DAndroid&hl=en
Music on demand,,YouTube Music ,Premium Student,£4.99/month,"1. Visit [youtube.com/paid_memberships](https://youtube.com/paid_memberships).
2. Click Manage membership.​
3. Click Deactivate.
4. Click Continue to cancel.
5. Select your reason for canceling and then click next.
6. Click Yes, cancel.",https://youtube.com/paid_memberships,https://support.google.com/youtube/answer/6308278?co=GENIE.Platform%3DAndroid&hl=en
Design Software,,Adobe Creative Cloud,All Apps,£49.94/month,"1. Go to [https://account.adobe.com/plans](https://account.adobe.com/plans)
2. Click Manage plan or View plan for the plan you want to cancel.
3. Under Plan information, click Cancel plan.
4. Indicate the reason for cancellation, and then click Continue.",https://account.adobe.com/plans,"https://helpx.adobe.com/uk/manage-account/using/cancel-subscription.html#:~:text=You%20can%20cancel%20your%20trial,Plan%20information%2C%20click%20Cancel%20plan."
Design Software,,Adobe Creative Cloud,Illustrator,£19.97/month,"1. Go to [https://account.adobe.com/plans](https://account.adobe.com/plans)
2. Click Manage plan or View plan for the plan you want to cancel.
3. Under Plan information, click Cancel plan.
4. Indicate the reason for cancellation, and then click Continue.",https://account.adobe.com/plans,"https://helpx.adobe.com/uk/manage-account/using/cancel-subscription.html#:~:text=You%20can%20cancel%20your%20trial,Plan%20information%2C%20click%20Cancel%20plan."
Design Software,,Adobe Creative Cloud,Indesign,£19.97/month,"1. Go to [https://account.adobe.com/plans](https://account.adobe.com/plans)
2. Click Manage plan or View plan for the plan you want to cancel.
3. Under Plan information, click Cancel plan.
4. Indicate the reason for cancellation, and then click Continue.",https://account.adobe.com/plans,"https://helpx.adobe.com/uk/manage-account/using/cancel-subscription.html#:~:text=You%20can%20cancel%20your%20trial,Plan%20information%2C%20click%20Cancel%20plan."
Design Software,,Adobe Creative Cloud,Photoshop,£19.97/month,"1. Go to [https://account.adobe.com/plans](https://account.adobe.com/plans)
2. Click Manage plan or View plan for the plan you want to cancel.
3. Under Plan information, click Cancel plan.
4. Indicate the reason for cancellation, and then click Continue.",https://account.adobe.com/plans,"https://helpx.adobe.com/uk/manage-account/using/cancel-subscription.html#:~:text=You%20can%20cancel%20your%20trial,Plan%20information%2C%20click%20Cancel%20plan."
Design Software,,AutoDesk Inventor,Monthly,£300.00/month,"1. Go to [https://manage.autodesk.com/cep/?_ga=2.169578657.1279688067.1594823693-1029281389.1594823693#orders/subscriptions](https://manage.autodesk.com/cep/?_ga=2.169578657.1279688067.1594823693-1029281389.1594823693#orders/subscriptions) and log in if necessary.
2. Click the product you want to cancel to display the subscription details.
3. Click the Auto-renew button to turn it to off.
4. In the Confirm renewal setting message that appears, click Turn off. The subscription expiration date displays to indicate the date your subscription and software access will end.",https://manage.autodesk.com/cep/?&_ga=2.134462577.1279688067.1594823693-1029281389.1594823693#orders/subscriptions,https://knowledge.autodesk.com/customer-service/account-management/billing-orders/cancel-subscription/cancel-auto-renewal-accounts
Design Software,,AutoDesk Inventor,1 Year,£201.00/month,"1. Go to [https://manage.autodesk.com/cep/?_ga=2.169578657.1279688067.1594823693-1029281389.1594823693#orders/subscriptions](https://manage.autodesk.com/cep/?_ga=2.169578657.1279688067.1594823693-1029281389.1594823693#orders/subscriptions) and log in if necessary.
2. Click the product you want to cancel to display the subscription details.
3. Click the Auto-renew button to turn it to off.
4. In the Confirm renewal setting message that appears, click Turn off. The subscription expiration date displays to indicate the date your subscription and software access will end.",https://manage.autodesk.com/cep/?&_ga=2.134462577.1279688067.1594823693-1029281389.1594823693#orders/subscriptions,https://knowledge.autodesk.com/customer-service/account-management/billing-orders/cancel-subscription/cancel-auto-renewal-accounts
